speaker_reference,text,generated_wav,language
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 它可以做得很薄，粘在其他金属上，由于达到如此之薄，有时可以用于装饰被称为“彩饰手抄本”的书本里的手绘图画。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_196.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," It can be made very thin, and stuck onto other metal. It can be made so thin that it was sometimes used to decorate the hand-painted pictures in books called illuminated manuscripts.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_207.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 它们的夜视能力很强，能在黑暗中看得很清楚，而且行动也很隐秘。豹猫的捕食方式是先融入周围环境，然后猛扑向猎物。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_212.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," They can see very well in the dark with night vision, and move very stealthily, too. Ocelots hunt their prey by blending in with their surroundings then pouncing on their prey.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_223.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 在另一种极端情况下，这个人会变成一个与之前迥然不同的个体，觉得他/她必须改变团队所做的一切，并把成果据为己有。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_228.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," At the other end of the spectrum, one morphs into an unrecognizable individual that feels he or she must change everything the team has been doing and make it their own.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_239.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 更传统的教堂常常在复活节周末的周六晚上举行复活节守夜活动，会众通常在午夜钟声敲响之时涌入庆典，庆祝基督的复活。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_244.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," More traditional churches often hold an Easter Vigil on Saturday night during the Easter weekend, with the congregations often breaking into celebration at the stroke of midnight to celebrate Christ's resurrection.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_255.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 格陵兰岛人烟稀少。据北欧史诗萨迦记载，红胡子埃里克因犯谋杀罪被逐出冰岛，他向西航行，发现陆地，于是将其命名为格陵兰岛。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_260.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_271.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 构成香港天际线的众多建筑就像是一幅闪闪发光的条形图，在维多利亚港水域的映衬下显得格外醒目。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_276.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, The parade of buildings that make the Hong Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_287.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 这个新的环境有不同的资源和不同的竞争对手，所以新的种群将需要不同的特征或适应能力来成为一个强有力的竞争对手，而不是它们之前所需要的那些。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_292.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," This new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_303.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 最容易获得的植物性资源应该是叶子和豆科植物中的蛋白质，但像我们这样的灵长类动物很难消化这种蛋白质，除非是煮熟的。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_308.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_319.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 在印度北部和巴基斯坦的内陆地区，咖喱中常常使用酸奶；而在印度南部和次大陆其他一些沿海地区，则常常使用椰奶。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_324.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_335.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 记住，虽然主舞台上的音乐可能已经结束，但节日的其他部分可能会一直演奏音乐到深夜。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_340.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," Remember that even though music on the main stages may have finished, there may be sections of the festival that will keep playing music until late into the night.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_351.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 实地考察是任何教学活动的重要组成部分。通常，老师会很乐意带学生去那些公交车无法到达的地方。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_356.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, Field trips are a large part of any classroom. Quite often a teacher would love to take her students places to which a bus trip is not an option.,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_367.wav,en
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav, 乌卡  的武器在指着第五个人的头时失灵了。施耐德（Schneider）疼痛不已，一只眼睛失明，一块头骨缺失，利用钛板才重塑了脸部。,Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_zh-cn_372.wav,zh-cn
Evaluation/References_DAPS/f1_script1_clean_segment_0.wav," Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.",Evaluation/Mega-TTS2/Audios/f1_script1_clean_segment_0.wav/f1_script1_clean_segment_0.wav_en_383.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 大众汽车保有量较高还会导致更高的道路交通事故发生率，而这将推动发明用于修复伤者伤处的全新医疗技术。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_388.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav," Mass car ownership also leads to a higher incidence of accidents on the roads, which leads to the invention of new techniques in healthcare for repairing damaged bodies.",Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_399.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, “我姐姐和她的朋友不见了，路上有两个残疾人坐着轮椅，有人跳过去帮他们推轮椅”，阿尔芒·范思哲说道。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_404.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav," I lost my sister and her friend, and on my way there were two disabled people in wheelchairs, people just jumping over and pushing them, Armand Versace said.",Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_415.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 这些条款必须得到所有州的一致同意才能进行修改，而各州对待中央政府的态度十分轻慢，以至于其州立代表经常缺席。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_420.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, The Articles required unanimous consent from all the states before they could be amended and states took the central government so lightly that their representatives were often absent.,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_431.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 奥利弗·萨克斯  在他的论文《总统的演讲》中指出，那些因为脑损伤而无法理解语言的人仍然能够准确地判断说话人是否有诚意。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_436.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav," Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately.",Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_447.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 他的作品极具辨识度，拥有高质量和丰富的细节，这也使得他成为了极少数在集邮人士中“家喻户晓”的人物之一。有些人专门收集他的作品。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_452.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, His work is of such recognized quality and detail that he is one of the very few household names among philatelists. Some specialize in collecting his work alone.,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_463.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 该理论认为，一个星系周围的大多数暗物质都处在星系周围的某种光环中，由许多小粒子组成。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_468.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav," This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.",Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_479.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 尽管“吉普赛”一词应用广泛，尤其在非罗姆人当中更为盛行，但它通常被认为是一种冒犯，因为它与负面的刻板印象和对罗姆人错误的看法相关联。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_484.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav," Though it is widely used, especially among non-Romani, the word Gypsy is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.",Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_495.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 熨烫潮湿的衣服可以帮助其变干。即便房间并没有熨斗和熨衣板，但是许多酒店提供出借服务。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_500.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav," Ironing damp clothes can help them dry. Many hotels have an iron and ironing board available for loan, even if one is not present in the room.",Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_511.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, Pa amb Oli 是一种在夏天尤为流行的简单晚餐：面包搭配橄榄油、番茄，手头上任何佐料都可加入，比如奶酪、金枪鱼等。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_516.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav," A simple popular dinner, especially during the summer, is the Pa amb Oli: Bread with olive oil, tomato, and any available condiments such as cheese, tunafish, etc.",Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_527.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 尽管戈马还算安全，但前往戈马以外的任何地方都应该事先调查，以便了解北基伍省持续的战斗有没有缓和。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_532.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav," While Goma is reasonably safe, any visits outside of Goma should be researched to understand the state of the fighting that persists in the North Kivu province.",Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_543.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 车轮以不可思议的方式改变了世界。车轮对我们最大的贡献，是让我们的交通更加便捷。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_548.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, The wheel has changed the world in incredible ways. The biggest thing that the wheel has done for us is given us much easier and faster transportation.,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_559.wav,en
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav, 例如，在卢瓦尔河谷和莱茵河谷参观城堡，或者乘游轮去游览多瑙河沿岸好玩的城市，或者沿伊利运河乘船游玩。,Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_zh-cn_564.wav,zh-cn
Evaluation/References_DAPS/f2_script1_clean_segment_4.wav," For example visiting castles in the Loire Valley, the Rhine valley or taking a cruise to interesting cites on the Danube or boating along the Erie Canal.",Evaluation/Mega-TTS2/Audios/f2_script1_clean_segment_4.wav/f2_script1_clean_segment_4.wav_en_575.wav,en
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, 自给农业是一种简单且通常是有机的系统，利用该生态区内保存的本地种子，与农作物轮作或其他相对简单的技术相结合，从而最大限度地提高产量。,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_zh-cn_580.wav,zh-cn
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav," Subsistence agriculture is a simple, often organic, system using saved seed native to the ecoregion combined with crop rotation or other relatively simple techniques to maximize yield.",Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_591.wav,en
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, 因为远离大陆，哺乳动物无法长途跋涉而来，使得巨龟成为科隆群岛主要的食草动物。,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_zh-cn_596.wav,zh-cn
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_607.wav,en
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, 虚拟实地考察是高科技的解决方案。学生可以在课堂上观看博物馆的人工制品，参观水族馆，或者欣赏精美的艺术品。,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_zh-cn_612.wav,zh-cn
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav," Technology offers the solution with virtual field trips. Students can look at museum artifacts, visit an aquarium, or admire beautiful art while sitting with their class.",Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_623.wav,en
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, 赌场一般会想方设法让客人花费尽量多的时间和金钱。赌场通常没有窗户和时钟，出口也很难找到。,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_zh-cn_628.wav,zh-cn
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav," Casinos typically make many efforts to maximize time and money spent by guests. Windows and clocks are usually absent, and exits can be hard to find.",Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_639.wav,en
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, 神经生物学数据为认知研究的理论方法提供了物理证据。因此，它缩小了研究范围，并使研究更加精确。,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_zh-cn_644.wav,zh-cn
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, Neurobiological data provide physical evidence for a theoretical approach to the investigation of cognition. Therefore it narrows the research area and makes it much more exact.,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_655.wav,en
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, 如果想近距离观看演出，你得早点到，在靠近舞台的地方占好营地。,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_zh-cn_660.wav,zh-cn
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, If you want to be close to the action you're going to have to get in early to get a camping site close to the music.,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_671.wav,en
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, 候选人可以派代表现场察看选举过程的每一个环节。晚上，志愿者在严密监督之下按照特定程序计票。,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_zh-cn_676.wav,zh-cn
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav," Candidates can send representatives to witness every part of the process. In the evening, votes are counted by volunteers under heavy supervision, following specific procedures.",Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_687.wav,en
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, 过滤器的效果各不相同，如果对此有所顾虑，那么您应该考虑购买信誉好的公司生产的密封瓶装水。,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_zh-cn_692.wav,zh-cn
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav," Filters vary in effectiveness, and should you have a concern, then you should consider buying your water in a sealed bottle from a reputable company.",Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_703.wav,en
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav, 在日本，最早的樱花派对是由天皇为他自己和皇室其他贵族成员在皇家御所举办的。,Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_zh-cn_708.wav,zh-cn
Evaluation/References_DAPS/f3_script1_clean_segment_45.wav," In Japan, the first cherry blossom parties were hosted by the emperor only for himself and other members of the aristocracy around the Imperial Court.",Evaluation/Mega-TTS2/Audios/f3_script1_clean_segment_45.wav/f3_script1_clean_segment_45.wav_en_719.wav,en
